Counting Sort
1 0.000000
2 0.000002
4 0.000003
8 0.000003
16 0.000004
32 0.000004
64 0.000004
128 0.000005
256 0.000006
512 0.000007
1024 0.000012
2048 0.000019
4096 0.000035
8192 0.000068
16384 0.000129
32768 0.000307
65536 0.000604
131072 0.002369
262144 0.004694

Quick Sort
1 0.000000
2 0.000000
4 0.000000
8 0.000000
16 0.000000
32 0.000001
64 0.000001
128 0.000003
256 0.000008
512 0.000020
1024 0.000062
2048 0.000139
4096 0.000292
8192 0.000602
16384 0.001234
32768 0.003017
65536 0.006156
131072 0.024311
262144 0.048927

Merge Sort
1 0.000000
2 0.000000
4 0.000000
8 0.000001
16 0.000001
32 0.000002
64 0.000004
128 0.000009
256 0.000021
512 0.000051
1024 0.000117
2048 0.000258
4096 0.000557
8192 0.001180
16384 0.002464
32768 0.006318
65536 0.013067
131072 0.055882
262144 0.109981


Selection Sort
1 0.000000
2 0.000000
4 0.000000
8 0.000001
16 0.000000
32 0.000001
64 0.000006
128 0.000023
256 0.000090
512 0.000342
1024 0.001327
2048 0.005189
4096 0.020671
8192 0.082179
16384 0.382572
32768 1.614369
65536 6.458486
131072 51.369973
262144 204.059304

